cve_periodo,cve_institucion,calificacion,m_total,imor
201512,040002,A1,2.11931E+11,0.27
201512,040012,A1,2.05439E+11,0
201512,040012,A2,45743377174,0.01
201512,040012,B1,13366642279,0
201512,040012,B2,3298053585,0
201512,040012,B3,3783503914,1.39
201512,040012,CDE,6142864444,47.7
201512,040014,A1,1.87665E+11,0.42
201512,040014,A2,37149196535,0.1
201512,040014,B1,6589526119,0
201512,040014,B2,3332448521,0.32
201512,040014,B3,5874468702,0.27
201512,040014,CDE,11122911590,56.48
201512,040021,A1,54124474455,0.01
201512,040021,A2,35907784930,0
201512,040021,B1,10957209764,0
201512,040021,B2,3082803414,0
201512,040021,B3,3914338151,0
201512,040021,CDE,15670899425,67.95
201512,040036,A1,94982178045,0
201512,040036,A2,24077841355,0
201512,040036,B1,17416661879,0
201512,040036,B2,4084243194,0
201512,040036,B3,5300151422,0.01
201512,040036,CDE,5572386624,63.23
201512,040044,A1,60480013418,0
201512,040044,A2,4079092164,0
201512,040044,B1,441086850,0
201512,040044,B2,549237021,0
201512,040044,B3,2134513770,0
201512,040044,CDE,3975343580,48.67
201512,040072,A1,93257364564,0
201512,040072,A2,16745233027,0
201512,040072,B1,6930807978,0
201512,040072,B2,3130258370,0
201512,040072,B3,7263816576,0
201512,040072,CDE,10616877168,52.1
201612,040002,A1,2.43785E+11,0.33
201612,040012,A1,2.46505E+11,0
201612,040012,A2,49413956186,0
201612,040012,B1,15611583256,0.08
201612,040012,B2,2055635678,0
201612,040012,B3,3671524990,1.15
201612,040012,CDE,5096852719,72.95
201612,040014,A1,2.07848E+11,0.13
201612,040014,A2,41352735040,0
201612,040014,B1,7173293320,0
201612,040014,B2,4789286569,0.75
201612,040014,B3,5854938370,0.05
201612,040014,CDE,8511589014,51.83
201612,040021,A1,57023268755,0
201612,040021,A2,35826331793,0
201612,040021,B1,27202271549,0
201612,040021,B2,5534537390,0
201612,040021,B3,3015672477,0
201612,040021,CDE,8600549380,59.19
201612,040036,A1,1.07733E+11,0
201612,040036,A2,51562082009,0
201612,040036,B1,9429732476,0
201612,040036,B2,1808078377,0
201612,040036,B3,2489272744,0.13
201612,040036,CDE,4239648644,81.83
201612,040044,A1,32064866830,0
201612,040044,A2,14986478224,0
201612,040044,B1,5225972201,0
201612,040044,B2,4702706644,0
201612,040044,B3,8890529010,0
201612,040044,CDE,2911541599,58.44
201612,040072,A1,1.05064E+11,0.04
201612,040072,A2,18086950003,0
201612,040072,B1,6416378541,0
201612,040072,B2,3144460393,0
201612,040072,B3,6588597979,0
201612,040072,CDE,7114130075,50.72
