cve_institucion,cve_periodo,intervalo_responsabilidad,creditos,cart_total,IMOR
040014,201612,4,3324,248639231,3.18
040014,201612,7,10535,7532723026,3.31
040002,201612,3,3576,134083707,3.23
040021,201612,12,344,11730488497,5.44
040021,201512,11,805,12424847292,9.14
040012,201512,13,411,28419942382,2.59
040012,201512,16,44,30851325946,0
040072,201612,5,12801,2037343204,8.07
040036,201512,4,1495,108432524,9.3
040021,201512,5,12686,2048532754,3.33
040002,201512,4,7197,535539543,1.86
040012,201612,12,915,31474700177,1.33
040021,201512,7,4072,2831971149,4.33
040044,201612,16,20,12715614618,0
040012,201512,9,5064,18031089580,2.06
040044,201512,12,281,9640721272,7.05
040002,201612,17,21,28627376276,0
040002,201512,14,217,33466133784,0
040044,201512,6,33,12051976,6.45
040044,201512,1,9,22538,0
040072,201512,2,1934,32339328,8.76
040044,201612,14,118,18538250972,1.15
040002,201512,6,9205,3286905579,1.24
040014,201612,1,931,4298279,3.88
040012,201512,7,15150,11076117701,2.8
040012,201512,4,19617,1424142875,3.62
040002,201612,6,9840,3532831993,1.6
040014,201612,10,3141,21292468218,1.47
040014,201512,13,320,21590009467,4.66
040012,201612,1,87496,298743672,0.54
040036,201512,6,1049,368817333,12.58
040072,201512,19,1,5000647569,0
040036,201512,9,318,1097726238,10.11
040014,201612,0,4,0,
040002,201612,2,2038,35586672,5.18
040072,201512,18,2,6323013809,0
040044,201512,11,488,7651672902,4.8
040044,201512,14,105,15529431328,1.38
040021,201612,9,1428,4995903294,6.45
040002,201512,19,1,15526144934,0
040002,201612,9,3871,13240649532,0.88
040012,201512,18,5,15442355452,0
040012,201612,18,5,14618292314,0
040044,201512,13,184,12682467004,4.1
040072,201512,4,5525,411200783,7.38
040002,201512,16,29,21354604236,0
040044,201612,13,205,13848667349,5.41
040036,201512,11,295,4534295764,6.07
040044,201612,3,25,1023895,0
040002,201512,13,325,22062313249,0
040044,201512,7,70,52292741,14.16
040044,201512,10,322,2259166230,4.97
040044,201612,10,333,2352287378,6.91
040002,201612,15,81,29332381078,0
040044,201612,12,298,10443983073,6.67
040002,201612,18,1,3107973375,0
040044,201512,8,197,339392493,4.44
040044,201512,2,2,29050,0
040036,201512,16,28,19432791269,4.32
040002,201512,5,12508,2069291158,1.58
040002,201612,12,570,19954048440,0.68
040021,201512,8,2980,4661710177,6.43
040036,201612,6,816,286306190,18.67
040014,201512,0,6,0,
040072,201612,18,2,6511007054,0
040021,201612,2,19397,316239973,3.36
040014,201512,7,11752,8491482980,3.77
040012,201612,8,17209,26233866450,3.49
040036,201512,1,191,960053,32.55
040014,201612,11,2109,31652920883,2.25
040012,201612,5,32857,5549263021,2.7
040014,201612,12,713,24255225768,2.24
040012,201512,0,284,0,
040012,201612,10,2589,16902907805,3
040044,201512,15,21,7121196287,0
040021,201612,13,167,11639544690,3.85
040036,201612,11,273,4215644715,5.74
040036,201612,14,77,12438188094,3.23
040021,201612,0,25,0,
040012,201612,11,2033,31196696895,3.37
040044,201512,17,7,9653866572,0
040012,201612,17,32,44394153745,0
040036,201512,7,554,359200309,9.78
040002,201612,8,8031,12753762996,1.42
040036,201512,12,193,6822041215,9.99
040002,201512,11,1131,17185465009,0.19
040002,201612,14,239,36250878031,0
040044,201612,6,135,48845961,1.59
040036,201612,8,469,733513324,10.7
040021,201612,8,3133,5005194902,4.52
040036,201612,16,18,11884215818,0
040072,201612,3,6108,225886882,4.67
040021,201612,14,143,22261924848,2.57
040012,201512,3,20800,746389963,2.16
040072,201612,0,2380,0,
040044,201512,18,1,4659401508,0
040044,201612,2,22,318070,0
040002,201512,17,17,21284706200,0
040036,201612,15,29,10603005051,0
040044,201512,9,269,985759537,6.65
040072,201512,3,2655,99349532,7.99
040021,201512,17,7,8947673716,0
040014,201512,9,5903,20555167858,2.91
040044,201612,7,123,90737763,9.26
040014,201612,2,873,14834463,4.9
040036,201512,18,7,26297664222,0
040036,201612,1,603,3732973,11.27
040036,201612,10,270,1894034781,8.38
040072,201612,8,7744,12368025272,5.68
040021,201512,6,7057,2476039181,2.55
040014,201512,8,12457,19713873332,3.63
040014,201612,14,175,26975306674,1.51
040012,201512,8,13553,21306258700,2.52
040036,201612,13,187,12607225332,5.63
040021,201612,11,812,12401942773,9.65
040012,201612,7,17759,12508820524,3.36
040012,201612,16,56,40068828175,0
040044,201512,5,23,4078377,0
040072,201512,12,479,16929942758,5.58
040044,201612,15,37,12226000999,0
040072,201612,16,26,18015657471,0
040021,201512,14,116,17803888322,7.97
040072,201512,1,2067,10558391,9.18
040036,201512,8,534,847915030,8.52
040002,201512,7,7603,5434756431,1.35
040002,201512,10,1136,7852412657,0.95
040012,201612,15,125,44438336408,0.67
040014,201612,18,4,10581131675,0
040036,201612,5,2203,333223901,16.43
040044,201612,4,80,6016629,0
040036,201512,17,17,25997307407,0
040044,201512,16,10,7331893088,0
040014,201512,11,1866,28722056053,2.24
040021,201612,3,14047,504775445,2.75
040072,201612,11,1108,16457630423,3.01
040012,201512,17,21,30120685161,0
040014,201512,4,3529,261710300,4.87
040021,201512,15,59,19783254195,18.78
040021,201512,12,360,12357426561,8.11
040036,201612,7,346,243134036,11.4
040012,201612,19,1,6027495000,0
040002,201612,11,1281,19550660283,0.54
040036,201512,15,44,15296198632,1.75
040002,201612,1,1966,6687581,6.57
040021,201512,4,14327,1026745631,3.27
040036,201612,2,2270,40633500,9.31
040036,201512,2,394,7657493,10.4
040002,201512,1,2071,7614526,5.48
040014,201612,15,66,22191332455,3.36
040072,201512,13,246,16936495768,4.08
040072,201612,6,7038,2510546207,7.55
040036,201612,19,7,51583596554,0
040036,201512,3,962,35975536,9.25
040012,201612,13,493,33944297018,0.98
040002,201612,5,13647,2238203056,1.64
040036,201512,5,2095,339983888,11.49
040072,201512,10,1632,11568580086,4.09
040012,201512,12,805,28341625087,2.16
040021,201512,2,26453,431937753,4.75
040044,201612,11,532,8406480798,4.28
040044,201512,4,5,377301,0
040002,201512,12,505,17223101150,0
040044,201612,17,5,6683350606,0
040012,201612,2,30891,506149169,0.97
040014,201512,5,8907,1510930019,3.51
040002,201512,2,2203,38678660,3.95
040014,201612,16,38,27423476126,0
040014,201612,13,339,22746522669,2.35
040014,201512,6,10148,3688537401,3.52
040002,201612,7,8414,6031723234,1.44
040002,201612,4,7507,558650380,2.09
040036,201512,14,66,9931838147,1.83
040002,201512,15,69,23406095631,0
040014,201612,6,9364,3407680421,3.29
040072,201512,9,3243,11228197957,5.61
040014,201512,3,1711,63545473,5.12
040036,201612,3,3230,117047083,12.14
040044,201612,18,3,10052116993,0
040036,201512,19,4,27985574639,0
040002,201512,8,6815,10745132180,1.48
040012,201512,6,22527,8020319156,2.23
040072,201612,10,1645,11209999964,3.68
040072,201612,7,6268,4471785242,8.59
040072,201612,2,5039,85624405,3.96
040012,201612,14,339,51402148516,1.04
040072,201612,15,52,18157884005,1.75
040014,201612,17,23,34049060475,0
040021,201512,1,51525,198500744,3.51
040072,201612,9,3592,11981216256,4.19
040014,201512,16,39,26265060453,3.46
040021,201612,5,10848,1745339184,2.43
040012,201612,9,5767,19531751942,2.93
040012,201612,6,25662,8818086872,2.42
040012,201512,15,114,39832410523,0.74
040021,201512,10,1008,6900942104,14.25
040072,201512,16,22,15722357561,0
040072,201512,7,6424,4619816073,10.8
040044,201612,9,284,1029782443,6.2
040021,201612,17,9,12628871824,0
040014,201512,2,1270,21357120,7.42
040036,201612,18,8,27789188474,0
040072,201612,13,292,19903848734,3.22
040021,201612,4,10888,777524413,2.24
040021,201612,7,3865,2716395717,3.93
040021,201612,10,862,5729561046,4.91
040072,201512,15,47,16045071705,6.66
040044,201612,1,107,282173,0
040014,201512,17,17,25662015351,0
040021,201612,15,62,20750616399,5.01
040021,201512,18,2,5108333873,0
040014,201512,10,2674,18533822050,2.33
040072,201612,12,503,17312875792,5.14
040012,201612,4,20183,1442864520,3.51
040036,201612,4,2739,192597602,14.94
040072,201512,5,10518,1729585505,7.65
040072,201512,8,6949,11062613670,8.3
040002,201512,3,3744,140019043,3.05
040021,201512,3,18590,667705599,3.82
040072,201612,17,29,41087801358,0
040014,201512,14,148,21313596252,3.5
040044,201612,5,176,30220482,0
040014,201612,3,1619,59318364,3.38
040014,201512,12,682,23555108432,2.83
040014,201612,9,6236,21566523390,2.14
040021,201512,13,174,11887711800,6.94
040012,201612,3,20829,745799503,2.37
040021,201612,1,46510,169758914,2.89
040014,201512,15,75,25385693915,3.56
040072,201612,4,9457,706988276,5.87
040014,201512,18,2,6394737619,0
040012,201612,0,378,0,
040002,201612,13,347,23412443638,0
040014,201512,1,1180,5203787,4.77
040002,201612,10,1369,9135205532,0.73
040021,201612,16,30,21378794823,2.4
040014,201612,8,12610,20001383697,2.94
040021,201512,0,29,0,
040014,201612,5,9034,1527070244,3.43
040072,201512,17,20,26170420535,0
040036,201612,12,160,5439397117,10.63
040036,201612,9,288,1031773242,11.25
040012,201512,11,1652,26441711167,2.77
040072,201512,14,135,20117694348,7.36
040012,201512,2,30549,491859661,0.93
040012,201512,1,81647,274672622,0.32
040021,201612,18,1,2511388194,0
040036,201612,17,23,35825157579,2.8
040044,201612,8,237,373218614,4.53
040012,201512,14,260,39553134903,1.47
040002,201612,16,42,30068575106,0
040002,201612,19,1,5813616570,0
040002,201512,9,3068,10312150925,1.3
040072,201612,14,163,24281188074,4.19
040021,201512,9,1274,4411981626,8.72
040021,201612,6,6851,2434782698,2.12
040072,201512,11,989,15322264361,3.39
040012,201512,5,32849,5552401672,2.77
040021,201512,16,19,12284659282,4.52
040072,201612,1,5470,23750350,3.11
040072,201512,6,7422,2666394310,10.74
040012,201512,10,2341,16924630626,2.58
040036,201512,10,312,2215949883,8.11
040036,201512,13,142,9753132937,8
