cve_institucion,cve_periodo,cve_tipo_garantia,total,imor,creditos
040002,201512,0,2.04614E+11,0.2733,57181
040002,201512,1,85114621,0,39
040002,201512,3,38732809,0,38
040002,201512,4,4821490779,0.0302,265
040002,201512,5,501109671,0,18
040002,201512,6,82477893,3.8577,111
040002,201512,7,180435191,0,171
040002,201512,9,1608150219,0,21
040002,201612,0,2.38449E+11,0.3366,62522
040002,201612,1,42258839,0,26
040002,201612,3,17384800,0,14
040002,201612,4,3409291087,0,167
040002,201612,5,419984321,0,5
040002,201612,6,15322519,0,30
040002,201612,7,34385605,0,70
040002,201612,9,1397307041,0,8
040012,201512,0,2.53731E+11,1.2742,237989
040012,201512,1,4667294247,0,382
040012,201512,3,2114271935,1.2262,490
040012,201512,4,22169996144,3.4273,3481
040012,201512,5,3252769409,0,48
040012,201512,6,173217531,26.2537,31
040012,201512,8,471325111,0,9
040012,201512,9,22226145,63.276,136
040012,201512,10,36248786257,2.5966,4841
040012,201612,0,3.0499E+11,1.3175,252497
040012,201612,1,7852803104,0,360
040012,201612,3,2391244378,1.7174,200
040012,201612,4,32154505584,2.0686,4098
040012,201612,5,3851278605,0,58
040012,201612,6,99215625,20.6582,22
040012,201612,8,344803525,0,6
040012,201612,9,93496,13.7396,5
040012,201612,10,38419452599,1.9302,7993
040014,201512,0,1.91338E+11,3.1355,45840
040014,201512,2,53354853,2.5106,24
040014,201512,3,628462948,0,67
040014,201512,4,20517578392,4.2548,3240
040014,201512,5,29009930125,0.8247,12873
040014,201512,8,2106348712,0.7276,178
040014,201512,9,5334001082,0,355
040014,201512,10,2746487761,0.3906,88
040014,201612,0,1.81446E+11,1.7621,42580
040014,201612,2,11333411,11.8194,12
040014,201612,3,1950177124,16.9333,150
040014,201612,4,34377101842,2.5026,3502
040014,201612,5,50584363792,0.6278,14413
040014,201612,8,806762709,1.8997,58
040014,201612,9,5395534300,0,382
040014,201612,10,958423730,0.8796,28
040021,201512,0,1.14406E+11,7.8443,138922
040021,201512,3,14486794,100,9
040021,201512,4,10437338326,15.0733,2427
040021,201512,5,2749350,0,1
040021,201512,6,731412283,2.4841,45
040021,201512,8,39120628,0,4
040021,201512,9,164119428,17.1565,19
040021,201512,10,458783700,11.2286,87
040021,201612,0,1.30064E+11,3.2445,117729
040021,201612,3,14486794,100,9
040021,201612,4,8859238076,13.4484,1570
040021,201612,6,265392484,3.2623,52
040021,201612,8,21688171,0,1
040021,201612,9,225204810,3.7507,16
040021,201612,10,248840999,17.5435,19
040036,201512,0,1.49802E+11,2.1827,8563
040036,201512,1,139726485,39.8175,15
040036,201512,3,1229560288,15.8362,112
040036,201512,4,257735070,1.554,5
040036,201512,6,2884645,0,1
040036,201512,7,1781191,0,4
040036,201612,0,1.76407E+11,1.8498,13916
040036,201612,1,37661692,99.6014,7
040036,201612,3,563921780,29.7552,84
040036,201612,4,249182762,1.6073,4
040036,201612,6,2493067,0,1
040036,201612,7,1172054,0,4
040044,201512,0,58393375605,2.584,1420
040044,201512,1,2395323206,1.8013,51
040044,201512,2,49484520,0,11
040044,201512,3,644670938,0,22
040044,201512,4,9359589102,3.0216,329
040044,201512,5,57821144,0,1
040044,201512,6,2678834156,0.8913,55
040044,201512,7,93988420,0,12
040044,201512,9,457072597,0,4
040044,201512,10,3793660516,3.2687,118
040044,201612,0,76315898205,2.389,2070
040044,201612,1,2797690298,1.5422,54
040044,201612,2,158852364,0,14
040044,201612,3,659116931,0,27
040044,201612,4,10939889845,2.4391,397
040044,201612,6,2355463654,1.0137,57
040044,201612,7,88188643,0,8
040044,201612,9,421460557,0,4
040044,201612,10,3110638319,3.6849,105
040072,201512,0,1.56127E+11,3.9307,48555
040072,201512,1,1259781599,0.7519,190
040072,201512,2,676100684,1.4555,36
040072,201512,3,740272396,0,54
040072,201512,4,19924860341,7.6535,1063
040072,201512,5,1054886861,0,68
040072,201512,7,74831369,0,23
040072,201512,8,391510060,0.9572,261
040072,201512,9,20346690,0,8
040072,201512,10,1726748357,0.0083,47
040072,201612,0,1.72217E+11,2.8014,65717
040072,201612,1,1429518917,0.3256,173
040072,201612,2,604871263,0.2518,26
040072,201612,3,618361292,0.0082,41
040072,201612,4,22205919104,4.2201,1005
040072,201612,5,2806413739,0,82
040072,201612,7,144603736,0,77
040072,201612,8,203334671,2.0713,119
040072,201612,9,10472170,0,7
040072,201612,10,7108605853,0,48
